title,authors,language_code,num_pages,category
The Great Good Place: Cafes  Coffee Shops  Bookstores  Bars  Hair Salons  and Other Hangouts at the Heart of a Community,Ray Oldenburg,eng,384.0,medium
Built to Last: Successful Habits of Visionary Companies,James C. Collins/Jerry I. Porras,eng,368.0,medium
I Like You: Hospitality Under the Influence,Amy Sedaris,eng,304.0,medium
Children Playing Before a Statue of Hercules,David Sedaris/Richard Yates/Dorothy Parker/Joyce Carol Oates/Lorrie Moore/Flannery O'Connor/Amy Hempel/Akhil   Sharma/Tim Johnston/Tobias Wolff/Sarah Vowell/Charles Baxter/Jhumpa Lahiri/Katherine Mansfield/Alice Munro/Jean Thompson/Frank Gannon/Patricia Highsmith/Jincy Willett,eng,344.0,medium
Bringing Down The House,Ben Mezrich,en-GB,320.0,medium
Read for Your Life: 11 Ways to Better Yourself Through Books,Pat Williams/Peggy Matthews Rose,eng,311.0,medium
The Hip-Hop Church: Connecting with the Movement Shaping Our Culture,Efrem Smith/Phil   Jackson,eng,227.0,medium
The Final Season: Fathers  Sons  and One Last Season in a Classic American Ballpark,Tom Stanton,eng,256.0,medium
The Cold Six Thousand (Underworld USA #2),James Ellroy,eng,688.0,large
White Teeth,Zadie Smith,eng,542.0,large
White Teeth,Zadie Smith,eng,448.0,large
White Teeth,Zadie Smith,en-GB,542.0,large
Schiffbruch mit Zuschauer. Paradigma einer Daseinsmetapher,Hans Blumenberg,ger,106.0,short
The Guide to Dan Brown's the Solomon Key,Greg  Taylor,en-US,183.0,short
The Da Vinci Code (Robert Langdon  #2),Dan Brown,en-US,756.0,large
Angels & Demons (Robert Langdon  #1),Dan Brown,en-US,528.0,large
The Illuminati,Larry Burkett,eng,352.0,medium
The Illuminati Papers,Robert Anton Wilson,en-US,168.0,short
The Da Vinci Code,Dan Brown,eng,489.0,large
The Da Vinci Code (Robert Langdon  #2),Dan Brown/Paul Michael,eng,0.0,short
El código Da Vinci (Robert Langdon  #2),Dan Brown/Juanjo Estrella,spa,557.0,large
Truth and Fiction in The Da Vinci Code: A Historian Reveals What We Really Know about Jesus  Mary Magdalene & Constantine,Bart D. Ehrman,en-US,207.0,medium
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling,eng,480.0,large
Housekeeping vs. the Dirt,Nick Hornby/Sarah Vowell/Jess Walter/Jennie Erdal/Joshua Ferris,eng,153.0,short
The Polysyllabic Spree,Nick Hornby,eng,143.0,short
Songbook,Nick Hornby,eng,207.0,medium
My Favorite Year: A Collection of Football Writing,Nick Hornby/D.J. Taylor/Huw Richards/Chris Pierson/Roddy Doyle/Harry Ritchie/Harry Pearson/Olly Wicken/Graham Brack/Matt Nation/Ed Horton/Don  Watson,eng,288.0,medium
Fever Pitch,Nick Hornby,eng,247.0,medium
High Fidelity,Nick Hornby,en-US,323.0,medium
About a Boy,Nick Hornby,eng,278.0,medium
The Complete Polysyllabic Spree,Nick Hornby,eng,278.0,medium
Medicus (Gaius Petreius Ruso  #1),Ruth Downie,eng,386.0,medium
Middlesex Borough (Images of America: New Jersey),Middlesex Borough Heritage Committee,eng,128.0,short
David Foster Wallace's Infinite Jest: A Reader's Guide,Stephen J. Burn,en-GB,96.0,short
Scar Tissue,Anthony Kiedis,en-US,465.0,large
Monsieur Ibrahim et les fleurs du Coran,Éric-Emmanuel Schmitt,fre,85.0,short
Zaat,Sonallah Ibrahim/صنع الله إبراهيم/Anthony Calderbank,ara,349.0,medium
Dreamland,Sarah Dessen,eng,250.0,medium
End Game (Dreamland  #8),Dale Brown/Jim DeFelice,eng,432.0,large
H. P. Lovecraft's Dreamlands (Call of Cthulhu RPG),Chris  Williams/Sandy Petersen,eng,260.0,medium
Dreamland (Dreamland  #1),Dale Brown/Jim DeFelice,eng,375.0,medium
Satan's Tail (Dreamland  #7),Dale Brown/Jim DeFelice,eng,405.0,large
The Zanzibar Chest,Aidan Hartley,en-US,496.0,large
Dispatches from the Edge: A Memoir of War  Disasters  and Survival,Anderson Cooper,eng,212.0,medium
Dispatches,Michael Herr,eng,260.0,medium
Dispatch,Bentley Little,en-US,386.0,medium
Dispatches from the Tenth Circle: The Best of the Onion,Robert D. Siegel/Todd Hanson/Carol Kolb/The Onion,eng,174.0,short
Hello! Is That Grandma?,Ian Whybrow/Deborah Allwright,en-GB,32.0,short
How Much is That Guinea Pig in the Window?,Joanne Rocklin/Meredith Johnson,en-US,48.0,short
My War Gone By  I Miss It So,Anthony Loyd,eng,336.0,medium
Night Draws Near: Iraq's People in the Shadow of America's War,Anthony Shadid,eng,507.0,large
Maximum City: Bombay Lost and Found,Suketu Mehta,eng,542.0,large
Catfish and Mandala: A Two-Wheeled Voyage Through the Landscape and Memory of Vietnam,Andrew X. Pham,en-US,344.0,medium
When Broken Glass Floats: Growing Up Under the Khmer Rouge,Chanrithy Him,eng,336.0,medium
First They Killed My Father: A Daughter of Cambodia Remembers,Loung Ung,eng,238.0,medium
Fahrenheit 451,Ray Bradbury/Christopher Hurt,eng,5.0,short
Los funerales de la Mamá Grande,Gabriel García Márquez,spa,160.0,short
Collected Novellas,Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein,eng,288.0,medium
The Grapes of Wrath,John Steinbeck/Robert DeMott/Mick Wiggins,eng,464.0,large
CliffsNotes on Steinbeck's The Grapes of Wrath,Kelly McGrath Vlcek/CliffsNotes/John Steinbeck,eng,112.0,short
The Grapes of Wrath,John Steinbeck,eng,597.0,large
American Gods,Neil Gaiman,eng,635.0,large
American Gospel: God  the Founding Fathers  and the Making of a Nation,Jon Meacham,eng,399.0,medium
American Gods (American Gods  #1),Neil Gaiman,eng,635.0,large
East of Eden,John Steinbeck,eng,601.0,large
Eden in the East: The Drowned Continent of Southeast Asia,Stephen Oppenheimer,eng,575.0,large
East Of Eden,John Steinbeck,eng,691.0,large
Who Was John F. Kennedy?,Yona Zeldis McDonough/Nancy Harrison/Jill Weber,eng,112.0,short
The Radical Right & the Murder of John F. Kennedy: Stunning Evidence in the Assassination of the President,Harrison Edward Livingstone,en-US,615.0,large
An Unfinished Life: John F. Kennedy  1917-1963,Robert Dallek,en-US,849.0,large
Sellevision,Augusten Burroughs,eng,229.0,medium
Dry,Augusten Burroughs,eng,295.0,medium
Running with Scissors,Augusten Burroughs,en-GB,320.0,medium
People of the Lie: The Hope for Healing Human Evil,M. Scott Peck,en-CA,272.0,medium
The Road Less Traveled: A New Psychology of Love  Traditional Values  and Spiritual Growth,M. Scott Peck,en-US,318.0,medium
The Adventures of Sherlock Holmes,Arthur Conan Doyle,eng,189.0,short
A Prayer for Owen Meany,John Irving,eng,641.0,large
Complications: A Surgeon's Notes on an Imperfect Science,Atul Gawande/Susanne Kuhlmann-Krieg,eng,270.0,medium
Sad Underwear and Other Complications: More Poems for Children and Their Parents,Judith Viorst/Richard  Hull,en-US,80.0,short
Bridget Jones: The Edge Of Reason (Bridget Jones #2),Helen Fielding,eng,422.0,large
Bridget Jones's Guide to Life,Helen Fielding,en-US,64.0,short
Las luces de septiembre (Niebla  #3),Carlos Ruiz Zafón,spa,279.0,medium
A Framework for Understanding Poverty,Ruby K. Payne,eng,199.0,short
El príncipe de la niebla (Trilogía de la Niebla  #1),Carlos Ruiz Zafón,spa,230.0,medium
The Shadow of the Wind,Carlos Ruiz Zafón/Lucia Graves,eng,403.0,large
Ruby for Rails: Ruby Techniques for Rails Developers,David A. Black/David Heinemeier Hansson,eng,493.0,large
About the B'nai Bagels,E.L. Konigsburg,eng,172.0,short
The Far Side of Evil,Sylvia Engdahl,eng,324.0,medium
Enchantress from the Stars,Sylvia Engdahl/Lois Lowry,eng,304.0,medium
Everything Is Illuminated,Jonathan Safran Foer,eng,276.0,medium
Everything Is Illuminated,Jonathan Safran Foer,eng,276.0,medium
Extremely Loud and Incredibly Close,Jonathan Safran Foer,eng,326.0,medium
Genome: the Autobiography of a Species in 23 Chapters,Matt Ridley,eng,344.0,medium
Bioinformatics: Sequence and Genome Analysis,David W. Mount,en-US,692.0,large
The Genome War: How Craig Venter Tried to Capture the Code of Life and Save the World,James Shreeve,eng,392.0,medium
Carter Beats the Devil,Glen David Gold,eng,483.0,large
Moo  Baa  La La La!,Sandra Boynton,eng,14.0,short
Click  Clack  Moo: Cows That Type,Doreen Cronin/Betsy Lewin,eng,30.0,short
Dooby Dooby Moo,Doreen Cronin/Betsy Lewin,eng,40.0,short
Moo,Jane Smiley,fre,482.0,large
Sailor Moo: Cow at Sea,Lisa Wheeler/Ponder Goembel,eng,32.0,short
CliffsNotes on Heller's Catch-22,Charles A. Peek/CliffsNotes/Joseph Heller,eng,48.0,short
Catch-22,Joseph Heller,eng,519.0,large
Geisha,Liza Dalby,eng,367.0,medium
Does Anything Eat Wasps?: And 101 Other Unsettling  Witty Answers to Questions You Never Thought You Wanted to Ask,New Scientist/Mick O'Hare,en-US,224.0,medium
Chronik eines angekündigten Todes,Gabriel García Márquez/Curt Meyer-Clason,ger,119.0,short
The Complete Short Stories of Ernest Hemingway,Ernest Hemingway/John Hemingway/Patrick Hemingway/Gregory H. Hemingway/Charles Scribner Jr.,eng,650.0,large
Hemingway & Bailey's Bartending Guide to Great American Writers,Mark Bailey/Edward Hemingway,eng,97.0,short
For Whom The Bell Tolls,Ernest Hemingway,en-GB,490.0,large
A Moveable Feast,Ernest Hemingway,eng,192.0,short
Islands in the Stream,Ernest Hemingway,eng,448.0,large
Berlin Blues,Sven Regener/John Brownjohn,eng,247.0,medium
The Short Stories,Ernest Hemingway,en-US,464.0,large
Hemingway's Cats: An Illustrated Biography,Carlene Fredericka Brennen/Hilary Hemingway,eng,185.0,short
The Ernest Hemingway Audio Collection,Ernest Hemingway/Charlton Heston,en-US,4.0,short
Until I Find You,John Irving,eng,928.0,large
The Imaginary Girlfriend,John Irving,eng,208.0,medium
The Fourth Hand,John Irving,eng,368.0,medium
The Water-Method Man,John Irving,eng,272.0,medium
Setting Free the Bears,John Irving,eng,304.0,medium
The 158-Pound Marriage,John Irving,en-US,176.0,short
The Short Stories,F. Scott Fitzgerald/Matthew J. Bruccoli,eng,800.0,large
A Life in Letters,F. Scott Fitzgerald/Matthew J. Bruccoli,eng,528.0,large
On Authorship,F. Scott Fitzgerald/Matthew J. Bruccoli/Judith S. Baughman,eng,203.0,medium
The St. Paul Stories of F. Scott Fitzgerald,F. Scott Fitzgerald/Dave Page/Patricia Hampl,en-US,328.0,medium
Tender is the Night,F. Scott Fitzgerald/Arnold Goldman/Richard Godden,en-GB,400.0,medium
The Great Gatsby,Kathleen Parkinson/F. Scott Fitzgerald,eng,144.0,short
The Great Gatsby,F. Scott Fitzgerald/Tim Robbins,eng,6.0,short
The Great Gatsby,F. Scott Fitzgerald/Alexander Scourby,eng,4.0,short
Cliffs Notes on Fitzgerald's the Great Gatsby,Kate Maurer/F. Scott Fitzgerald/CliffsNotes,eng,96.0,short
The Great Gatsby,F. Scott Fitzgerald,eng,188.0,short
Limitations (Kindle County Legal Thriller #7),Scott Turow,eng,208.0,medium
Reversible Errors (Kindle County Legal Thriller #6),Scott Turow,eng,553.0,large
The Laws Of Our Fathers (Kindle County Legal Thriller #4),Scott Turow,eng,817.0,large
Personal Injuries (Kindle County Legal Thriller #5),Scott Turow,eng,528.0,large
One L: The Turbulent True Story of a First Year at Harvard Law School,Scott Turow,eng,288.0,medium
Ultimate Punishment,Scott Turow,eng,176.0,short
The Physician (Cole Family Trilogy  #1),Noah Gordon,eng,720.0,large
Matters of Choice (Cole Family Trilogy  #3),Noah Gordon/Mirjana Cvekić/Ljiljana Cvekić,eng,448.0,large
The Rabbi,Noah Gordon,eng,448.0,large
The Last Jew,Noah Gordon/Mirjana Cvekić/Ljiljana Cvekić,eng,352.0,medium
The Frequencies,Noah Eli Gordon,eng,81.0,short
Chamán (Familia Cole  #2),Noah Gordon/Elsa Mateo,spa,768.0,large
The Talking Horse and the Sad Girl and the Village Under the Sea: Poems,Mark Haddon,eng,60.0,short
Ocean Star Express,Mark Haddon/Peter   Sutton,eng,32.0,short
The Damned and the Beautiful: American Youth in the 1920's,Paula S. Fass,spa,520.0,large
This Side of Paradise (Paradise  #1),Steven L. Layne,eng,224.0,medium
Trimalchio,F. Scott Fitzgerald/James L.W. West III,eng,214.0,medium
Souvenir of Canada 2,Douglas Coupland,eng,144.0,short
Souvenir of Canada,Douglas Coupland,en-US,144.0,short
The Illustrated Art of War,Sun Tzu/Samuel B. Griffith,eng,272.0,medium
World War 3 Illustrated: Confrontational Comics,Scott   Cunningham/Peter Kuper/Seth Tobocman/Sabrina Jones,eng,256.0,medium
Master Index: An Illustrated Guide,Time-Life Books,eng,175.0,short
A New Hope: The Illustrated Screenplay (Star Wars  Episode IV),George Lucas,eng,166.0,short
Soul of the Sword: An Illustrated History of Weaponry and Warfare from Prehistory to the Present,Robert L. O'Connell/John    Batchelor,en-US,400.0,medium
Star Wars Episode 1: The Phantom Menace Illustrated Screenplay,George Lucas,eng,150.0,short
Warfare in the Classical World: An Illustrated Encyclopedia of Weapons  Warriors  and Warfare in the Ancient Civilizations of Greece and Rome,John Warry/Phillip de ste. Croix,eng,224.0,medium
The Winter of Our Discontent,John Steinbeck/Susan Shillinglaw,eng,336.0,medium
Cannery Row,John Steinbeck,eng,181.0,short
The Grapes of Wrath and Other Writings 1936–1941: The Long Valley / The Grapes of Wrath / The Log from the Sea of Cortez / The Harvest Gypsies,John Steinbeck/Elaine Steinbeck/Robert DeMott,eng,1088.0,large
Tortilla Flat,John Steinbeck,en-GB,154.0,short
The Log from the Sea of Cortez,John Steinbeck/Richard Astro,eng,288.0,medium
The Illustrated Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,Dava Sobel/William J.H. Andrewes/William J. H. Andrewes,eng,224.0,medium
Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,Dava Sobel/Neil Armstrong,eng,192.0,short
Latitude and Longitude (Rookie Read-About Geography),Rebecca Aberg/Jeanne Clidas,eng,32.0,short
The Quest for Longitude: The Proceedings of the Longitude Symposium  Harvard University  Cambridge  Massachusetts  November 4-6  1993,William Andrewes,eng,437.0,large
1421: The Year China Discovered America,Gavin Menzies,eng,650.0,large
Dr. Desirable,Kristi Gold,eng,192.0,short
Mayflower: A Story of Courage  Community  and War,Nathaniel Philbrick,eng,461.0,large
Before the Mayflower: A History of Black America,Lerone Bennett Jr.,eng,796.0,large
Before The Mayflower A History of Black America,Lerone Bennett Jr.,en-US,70.0,short
Shalimar the Clown,Salman Rushdie,eng,398.0,medium
Midnight's Children,Salman Rushdie,eng,463.0,large
Haroun and the Sea of Stories (Khalifa Brothers  #1),Salman Rushdie/Paul Birkbeck,eng,224.0,medium
Fury,Salman Rushdie,eng,272.0,medium
Code Complete,Steve McConnell,en-US,914.0,large
Dale Carnegie's Lifetime Plan for Success: How to Win Friends and Influence People & How to Stop Worrying and Start Living,Dale Carnegie,eng,538.0,large
How to Stop Worrying and Start Living,Dale Carnegie,eng,358.0,medium
How To Enjoy Your Life And Your Job,Dale Carnegie/Dorothy Carnegie,eng,224.0,medium
The Leader In You: How to Win Friends  Influence People and Succeed in a Changing World,Dale Carnegie/Stuart R. Levine/Michael A. Crom,eng,256.0,medium
The Drama of the Gifted Child: The Search for the True Self,Alice   Miller/Ruth Ward,eng,144.0,short
The Drama of the Gifted Child: The Search for the True Self,Alice   Miller,en-US,118.0,short
Who Moved My Cheese?,Spencer Johnson/Kenneth H. Blanchard,eng,96.0,short
Blue Ocean Strategy: How to Create Uncontested Market Space and Make the Competition Irrelevant,W. Chan Kim/Renée Mauborgne,eng,240.0,medium
Heart of Darkness,Joseph Conrad,eng,188.0,short
Heart of Darkness and Other Tales,Joseph Conrad/Cedric Watts,eng,225.0,medium
Heart of Darkness,Joseph Conrad,eng,132.0,short
Teacher Man (Frank McCourt  #3),Frank McCourt,eng,272.0,medium
Angela's Ashes,Frank McCourt,eng,224.0,medium
Three Men in a Boat (Three Men  #1),Jerome K. Jerome,eng,185.0,short
Three Men in a Boat: To Say Nothing of the Dog,Jerome K. Jerome,eng,144.0,short
Three Men in a Boat: To Say Nothing of the Dog,Jerome K. Jerome,eng,272.0,medium
Three Men in a Boat,Jerome K. Jerome,eng,178.0,short
Three Men in a Boat and Three Men on the Bummel,Jerome K. Jerome/Jeremy Lewis,en-US,400.0,medium
Kafka on the Shore,Haruki Murakami/Philip Gabriel,eng,467.0,large
The Brothers Karamazov,Fyodor Dostoyevsky/Constance Garnett/Manuel Komroff/John Bayley,eng,736.0,large
The Brothers Karamazov,Fyodor Dostoyevsky/Fyodor Dostoevsky/Richard Pevear/Larissa Volokhonsky,eng,796.0,large
The Brothers Karamazov,Fyodor Dostoyevsky/David McDuff,eng,1013.0,large
The Brothers Karamazov,Fyodor Dostoyevsky/Richard Pevear/Larissa Volokhonsky,eng,796.0,large
The Brothers Karamazov,Fyodor Dostoyevsky/Simon Vance/Thomas R. Beyer Jr.,eng,16.0,short
The Brothers Karamazov,Fyodor Dostoyevsky/Constance Garnett/Maire Jaanus,eng,720.0,large
CliffsNotes on Dostoevsky's The Brothers Karamazov,James Lamar Roberts/Gary Carey,en-GB,96.0,short
Hungry Planet,Peter Menzel/Faith D'Aluisio,eng,288.0,medium
The Very Hungry Caterpillar,Eric Carle,eng,13.0,short
The Little Mouse  the Red Ripe Strawberry and the Big Hungry Bear,Don    Wood,en-US,32.0,short
One Hundred Hungry Ants,Elinor J. Pinczes/Bonnie Mackain,en-US,32.0,short
The Hungry Tide,Amitav Ghosh,eng,333.0,medium
Feeding the Hungry Heart: The Experience of Compulsive Eating,Geneen Roth,eng,224.0,medium
What Is the What,Dave Eggers,eng,475.0,large
A Heartbreaking Work of Staggering Genius,Dave Eggers,eng,485.0,large
You Shall Know Our Velocity!,Dave Eggers,eng,401.0,large
How We Are Hungry,Dave Eggers,eng,224.0,medium
How We Are Hungry: Stories,Dave Eggers,eng,218.0,medium
Merry Christmas  Stinky Face,Lisa McCourt/Cyd Moore,eng,32.0,short
Love You Until--,Lisa McCourt/Cyd Moore,eng,32.0,short
Year of Wonders,Geraldine Brooks,eng,358.0,medium
The Wonder Years: Helping Your Baby and Young Child Successfully Negotiate the Major Developmental Milestones,Tanya Remer Altmann/American Academy of Pediatrics,en-US,224.0,medium
Wolves of the Calla (The Dark Tower  #5),Stephen King/Bernie Wrightson,eng,931.0,large
A Man Without a Country,Kurt Vonnegut Jr./Daniel Simon,eng,160.0,short
Slaughterhouse-Five,Kurt Vonnegut Jr.,eng,275.0,medium
Kurt Vonnegut's Cat's Cradle (Modern Critical Interpretations),Harold Bloom/Terry Southern/David H. Goldsmith/James Lundquist/Lawrence R. Broer/Peter J. Reed/Loree Rackstraw/William S. Doxey/Jerome Klinkowitz/Richard Giannone/John L. Simons/Leonard Mustazza/Zoltan Ab di-Nagy/Peter Freese/Wendy B. Faris,eng,258.0,medium
God Bless You  Dr. Kevorkian,Kurt Vonnegut Jr.,eng,80.0,short
Jailbird,Kurt Vonnegut Jr.,eng,310.0,medium
Fates Worse Than Death,Kurt Vonnegut Jr.,en-US,240.0,medium
The Red Tent,Anita Diamant,eng,336.0,medium
Inside the Red Tent,Sandra Hack Polaski,eng,100.0,short
Anita Diamant's The Red Tent: A Reader's Guide,Ann Finding,eng,88.0,short
La Jeune fille à la perle,Tracy Chevalier/Marie-Odile Fortier-Masek,fre,313.0,medium
Iron Kingdom: The Rise and Downfall of Prussia  1600–1947,Christopher   Clark,eng,776.0,large
Downfall (Dragonlance: Dhamon Saga  #1),Jean Rabe,eng,397.0,medium
Berlin: The Downfall  1945,Antony Beevor,eng,489.0,large
El azul de la virgen,Tracy Chevalier,spa,411.0,large
Saturday,Ian McEwan,eng,289.0,medium
I Love Saturdays y domingos,Alma Flor Ada/Elivia Savadier,en-US,32.0,short
A Dangerous Fortune,Ken Follett,eng,596.0,large
The Man From St. Petersburg,Ken Follett,eng,320.0,medium
Night Over Water,Ken Follett,eng,448.0,large
The Truth about the Drug Companies: How They Deceive Us and What to Do about It,Marcia Angell,en-GB,319.0,medium
La verdad acerca de las Industrias Farmacéuticas: cómo nos engaña y qué hacer al respecto,Marcia Angell,spa,324.0,medium
Jackdaws,Ken Follett,eng,416.0,large
Whiteout,Ken Follett/David Tennant,eng,4.0,short
Jackdaws,Ken Follett,eng,496.0,large
Battle Angel Alita - Last Order : Angel's Vision  Vol. 08,Yukito Kishiro,eng,208.0,medium
Battle Angel Alita - Last Order : Guilty Angel  Vol. 07,Yukito Kishiro,eng,208.0,medium
Gunnm Last Order  Tome 01,Yukito Kishiro,fre,200.0,short
Your Inner Physician and You: CranioSacral Therapy and SomatoEmotional Release,John E. Upledger,eng,240.0,medium
My Life in France,Julia Child/Alex Prud'Homme,eng,336.0,medium
A Short History of Nearly Everything (Illustrated Edition),Bill Bryson,eng,624.0,large
The Drawing of the Three (The Dark Tower  #2),Stephen King,eng,463.0,large
The Handmaid's Tale,Margaret Atwood/Valerie Martin,eng,350.0,medium
The Handmaid's Tale,Margaret Atwood,en-GB,308.0,medium
The Catcher in the Rye,J.D. Salinger,eng,277.0,medium
The Catcher in the Rye - Barron's Book Notes,Barron's,eng,120.0,short
Franny and Zooey,J.D. Salinger,eng,201.0,medium
Raise High the Roof Beam  Carpenters & Seymour: An Introduction,J.D. Salinger,eng,256.0,medium
The Doors of Perception & Heaven and Hell,Aldous Huxley,eng,187.0,short
Brave New World,Aldous Huxley,eng,288.0,medium
Island,Aldous Huxley,eng,354.0,medium
The Perennial Philosophy,Aldous Huxley,eng,336.0,medium
Huxley and God: Essays on Religious Experience,Aldous Huxley/Huston Smith/Jacqueline Hazard Bridgeman,eng,320.0,medium
Moksha: Writings on Psychedelics & the Visionary Experience,Aldous Huxley/Michael Horowitz/Cynthia Palmer,eng,304.0,medium
Point Counter Point,Aldous Huxley,eng,432.0,large
After Many a Summer Dies the Swan,Aldous Huxley,en-US,368.0,medium
The Flame Trees of Thika: Memories of an African Childhood,Elspeth Huxley,en-GB,281.0,medium
The Devil Wears Prada (The Devil Wears Prada  #1),Lauren Weisberger,eng,432.0,large
Arundhati Roy's The God of Small Things: A Reader's Guide,Julie Mullaney,en-GB,96.0,short
A Separate Peace,John Knowles/David Levithan,eng,208.0,medium
Black and Blue,Anna Quindlen,eng,288.0,medium
A Virtuous Woman,Kaye Gibbons,eng,165.0,short
Here on Earth,Alice Hoffman,eng,336.0,medium
The Heart of a Woman,Maya Angelou,eng,288.0,medium
The Deep End of the Ocean (Cappadora Family  #1),Jacquelyn Mitchard,eng,464.0,large
Cane River,Lalita Tademy,eng,522.0,large
Where the Heart Is,Billie Letts,eng,376.0,medium
Oprah Winfrey,Katherine E. Krohn,eng,128.0,short
Drowning Ruth,Christina Schwarz,eng,368.0,medium
Fall on Your Knees,Ann-Marie MacDonald,eng,672.0,large
What Looks Like Crazy on an Ordinary Day (Idlewild  #1),Pearl Cleage,eng,244.0,medium
While I Was Gone,Sue Miller,eng,304.0,medium
Mother of Pearl,Melinda Haynes,eng,465.0,large
Breath  Eyes  Memory,Edwidge Danticat,eng,234.0,medium
The Book of Ruth,Jane Hamilton,en-US,328.0,medium
Open House,Elizabeth Berg,eng,272.0,medium
The Pilot's Wife,Anita Shreve,eng,304.0,medium
Tara Road,Maeve Binchy,eng,648.0,large
A Lesson Before Dying,Ernest J. Gaines,eng,256.0,medium
Paradise,Toni Morrison,eng,318.0,medium
The Treasure Hunt: A Little Bill Book,Bill Cosby/Varnette P. Honeywood,eng,40.0,short
She's Come Undone,Wally Lamb,eng,465.0,large
We Were the Mulvaneys,Joyce Carol Oates,eng,454.0,large
A Map of the World,Jane Hamilton/Frank  Muller/C.J. Critt,en-GB,400.0,medium
Daughter of Fortune,Isabel Allende/Margaret Sayers Peden,eng,399.0,medium
The Meanest Thing To Say,Bill Cosby/Varnette P. Honeywood/Varnette Hon Eywood,eng,40.0,short
The Good Earth (House of Earth  #1),Pearl S. Buck,eng,357.0,medium
A Fine Balance,Rohinton Mistry,eng,603.0,large
The Best Way to Play: A Little Bill Book,Bill Cosby/Varnette P. Honeywood/Varnette Honeywood,eng,40.0,short
White Oleander,Janet Fitch,eng,480.0,large
Cry  the Beloved Country,Alan Paton,eng,316.0,medium
One Hundred Years of Solitude,Gabriel García Márquez/Gregory Rabassa,eng,458.0,large
Song of Solomon,Toni Morrison,en-US,337.0,medium
One Hundred Years of Solitude,Gabriel García Márquez/Gregory Rabassa,eng,417.0,large
The Bluest Eye,Toni Morrison,eng,216.0,medium
The Poisonwood Bible,Barbara Kingsolver,eng,546.0,large
Vergeef me,Wally Lamb/Inge de Heer,nl,744.0,large
The Crusader: Ronald Reagan and the Fall of Communism,Paul Kengor,eng,432.0,large
Ronald Reagan: How an Ordinary Man Became an Extraordinary Leader,Dinesh D'Souza,eng,304.0,medium
Ethan Frome and Summer,Edith Wharton/Elizabeth Strout,eng,274.0,medium
Collected Stories  1891-1910,Edith Wharton/Maureen Howard,eng,928.0,large
A Backward Glance,Edith Wharton/Louis Auchincloss,eng,385.0,medium
The Best Short Stories of Edith Wharton,Edith Wharton,eng,300.0,medium
Complete Works of Oscar Wilde,Oscar Wilde/Merlin Holland,eng,1270.0,large
Oscar Wilde,Richard Ellmann,eng,736.0,large
An Ideal Husband,Oscar Wilde,eng,78.0,short
The Picture of Dorian Gray,Oscar Wilde/Jeffrey Eugenides,eng,272.0,medium
De Profundis and Other Writings,Oscar Wilde/Hesketh Pearson,eng,252.0,medium
Sense and Sensuality: Jesus Talks to Oscar Wilde on the Pursuit of Pleasure (Great Conversations),Ravi Zacharias,en-US,94.0,short
Travels with Charley: In Search of America,John Steinbeck,eng,214.0,medium
Novels and Stories 1932–1937: The Pastures of Heaven / To a God Unknown / Tortilla Flat / In Dubious Battle / Of Mice and Men,John Steinbeck/Elaine Steinbeck/Robert DeMott,eng,909.0,large
The Pearl,John Steinbeck,eng,96.0,short
The Life and Times of Scrooge McDuck,Don Rosa,eng,266.0,medium
The Life and Times of Scrooge McDuck Companion,Don Rosa,eng,208.0,medium
The Last Christmas of Ebenezer Scrooge,Marvin Kaye,eng,168.0,short
Uncle Scrooge #359,Don Rosa/Carl Barks/Lars Jensen/Pat McGreal/Carol McGreal/Frank Jonker/Romano Scarpa/Mau Heymans/José Massaroli,eng,64.0,short
A Christmas Story,Jean Shepherd,eng,144.0,short
My First Story of Christmas,Tim Dowley/Roger Langton,eng,24.0,short
The Christmas Story,Jane Werner Watson/Eloise Wilkin,en-US,24.0,short
A Christmas Carol,Charles Dickens/P.J. Lynch,en-CA,160.0,short
A Christmas Carol,Charles Dickens,eng,112.0,short
The Annotated Christmas Carol,Charles Dickens/Michael Patrick Hearn/John Leech,eng,266.0,medium
Charles Dickens' A Christmas Carol,Jane Parker Resnick/Christian Birmingham,eng,56.0,short
Little Dorrit,Charles Dickens/Hablot Knight Browne/David Gates,eng,1347.0,large
A Christmas Carol and Other Christmas Writings,Charles Dickens/Michael Slater,eng,288.0,medium
The Life of Our Lord: Written for His Children During the Years 1846 to 1849,Charles Dickens,eng,128.0,short
Hard Times,Charles Dickens,eng,353.0,medium
The Innocent Man: Murder and Injustice in a Small Town,John Grisham,eng,360.0,medium
The Last Juror,John Grisham,eng,278.0,medium
The Testament,John Grisham/Jorma-Veikko Sappinen,eng,535.0,large
The Rainmaker,John Grisham,eng,419.0,large
The Partner,John Grisham,eng,416.0,large
The Street Lawyer,John Grisham,eng,384.0,medium
The Summons,John Grisham,eng,384.0,medium
The Brethren,John Grisham,eng,384.0,medium
The King of Torts,John Grisham,eng,276.0,medium
Skipping Christmas,John Grisham,eng,198.0,short
The Firm,Robin Waterfield/John Grisham,eng,76.0,short
The Client,John Grisham,eng,483.0,large
A Painted House,John Grisham,eng,384.0,medium
